stratum,n,p_action_0,p_action_1,p_action_2,p_action_3,p_action_4,p_rare_3_4,low_support_actions_<1%
overall,49779,0.5982241507462986,0.16071033970148055,0.16071033970148055,0.04017758492537014,0.04017758492537014,0.08035516985074027,0
mapz_low_nonzero,137,0.5401459854014599,0.24087591240875914,0.18248175182481752,0.014598540145985401,0.021897810218978103,0.0364963503649635,0
mapz_mid_nonzero,123,0.5934959349593496,0.22764227642276422,0.11382113821138211,0.04065040650406504,0.024390243902439025,0.06504065040650406,0
mapz_high_nonzero,120,0.7166666666666667,0.09166666666666666,0.13333333333333333,0.03333333333333333,0.025,0.058333333333333334,0
