policy,phase,mean_action,pct_zero,pct_high,entropy_bits,n,hypotension_thr,recovery_thr,pre_window,post_window,split
clinician,post,0.9148936170212766,0.48936170212765956,0.06382978723404255,1.7233156336855122,47,-0.3523054107046394,0.03502787125027789,"[-3,-1]","[1,3]",train
clinician,pre,0.9090909090909091,0.42424242424242425,0.030303030303030304,1.7001026364809229,33,-0.3523054107046394,0.03502787125027789,"[-3,-1]","[1,3]",train
