policy,mean_action,entropy_nats,normalized_entropy,pct_zero_action,pct_extreme_action_3_4
clinician,0.7604867114953571,1.1508409818666379,0.7150577061566269,0.5997438360550752,0.08005123278898495
bc,0.7688920909382004,1.1554385614849736,0.7179143429879181,0.6010846942042908,0.08479426833173231
cql,0.7587856227985911,1.1511159161380229,0.7152285324241461,0.6011647454370798,0.08167227025296189
bcq_best10k,2.1041266410502724,0.6725428986183277,0.41787439790155034,0.2973102785782901,0.6977265449887928
